timestamp_ms,ax,ay,az,gx,gy,gz,hg_ax,hg_ay,hg_az,label,label_name,phase
0.0,-0.1411,0.3229,9.5856,5.9724,1.3848,0.007,-0.137,0.3829,9.5912,0,Normal,Normal
1.0,0.0748,-0.1553,9.8236,1.2827,-5.4574,-2.7254,0.0604,-0.1531,9.853,0,Normal,Normal
2.0,0.0026,-1.0208,10.0108,-5.5073,-5.554,1.3608,0.0444,-1.0179,9.9657,0,Normal,Normal
3.0,-0.3526,0.8975,9.6464,3.6872,-0.2297,1.0117,-0.3375,0.9653,9.7024,0,Normal,Normal
4.0,0.5244,0.1314,9.8624,-0.3071,-0.7409,-0.6432,0.4824,0.1214,9.8832,0,Normal,Normal
5.0,-0.2121,0.0833,10.1011,-2.063,0.4241,0.9677,-0.2219,-0.0058,10.1372,0,Normal,Normal
6.0,-0.1956,-0.5566,9.725,0.8368,1.9112,0.6848,-0.2358,-0.4961,9.7594,0,Normal,Normal
7.0,-0.119,0.055,10.1375,-1.2132,1.9263,1.5747,-0.0896,-0.0323,10.0939,0,Normal,Normal
8.0,-0.1497,-0.1684,9.9962,1.5522,-4.2861,1.6791,-0.0983,-0.1381,9.9539,0,Normal,Normal
9.0,-0.355,0.1772,9.4458,5.1718,3.9478,0.6985,-0.3224,0.209,9.4929,0,Normal,Normal
10.0,0.1296,0.1706,9.6912,-5.55,1.0383,-5.9654,0.0685,0.1339,9.6491,0,Normal,Normal
11.0,-0.5389,0.2171,9.8925,-4.9445,0.1225,1.2462,-0.479,0.2722,9.8709,0,Normal,Normal
12.0,-0.4902,-0.0059,9.9645,1.1506,4.8841,1.1492,-0.4872,-0.1233,9.9621,0,Normal,Normal
13.0,-0.1672,0.021,9.8587,-3.2957,-0.2672,-4.7209,-0.127,-0.0077,9.8602,0,Normal,Normal
14.0,0.1404,0.3479,9.8862,0.3537,6.2557,-0.826,0.1064,0.32,9.9197,0,Normal,Normal
15.0,0.085,-0.475,10.1352,1.4145,-3.8749,4.0946,0.0683,-0.3848,10.2263,0,Normal,Normal
16.0,-0.0389,-0.0547,10.0147,6.1053,0.5351,-8.0986,0.0169,-0.071,10.0379,0,Normal,Normal
17.0,0.0028,0.0212,9.889,-4.6242,2.0525,2.013,-0.0373,0.0675,9.9718,0,Normal,Normal
18.0,-0.0053,0.076,10.0573,4.2873,2.532,4.749,-0.0371,0.0326,9.9367,0,Normal,Normal
19.0,0.2107,-0.046,10.2301,-2.7365,-0.8458,3.9262,0.3372,-0.005,10.2554,0,Normal,Normal
20.0,0.3176,-0.0709,9.6702,0.2531,-4.2372,7.9485,0.4275,-0.1344,9.6848,0,Normal,Normal
21.0,-0.9561,0.1379,9.7947,0.7248,-4.8284,5.041,-0.9277,0.1676,9.7666,0,Normal,Normal
22.0,0.646,0.4214,9.8303,-1.1291,-2.902,-4.3012,0.5921,0.3691,9.9141,0,Normal,Normal
23.0,-0.0635,0.4718,10.3063,-3.0361,-1.0862,1.5815,-0.1018,0.4809,10.2034,0,Normal,Normal
24.0,0.1805,0.1542,9.8103,-0.3874,-1.7386,4.0183,0.1982,0.1546,9.8868,0,Normal,Normal
25.0,0.5373,0.3672,9.9926,-2.6645,2.3006,-0.0621,0.5506,0.32,9.9088,0,Normal,Normal
26.0,-0.1212,-0.1388,9.9149,-0.2296,4.5464,-0.3242,-0.1579,-0.1827,9.9369,0,Normal,Normal
27.0,0.0964,-0.0164,9.9677,-0.7801,1.3432,-3.1715,0.0015,-0.0132,9.9032,0,Normal,Normal
28.0,0.1221,0.2348,9.6729,-2.7038,3.0079,5.9932,0.1273,0.2704,9.6401,0,Normal,Normal
29.0,-0.0932,-0.6329,10.0424,-1.037,-1.4594,1.0279,-0.0349,-0.668,9.9574,0,Normal,Normal
30.0,0.2151,0.0838,9.9757,1.0928,-1.7229,1.073,0.152,0.1116,9.9864,0,Normal,Normal
31.0,0.2815,0.3628,9.7653,0.6479,-4.5277,2.9732,0.2098,0.3831,9.7925,0,Normal,Normal
32.0,0.0541,0.4804,9.5688,-0.722,1.1652,-0.8131,-0.045,0.5283,9.5499,0,Normal,Normal
33.0,0.0759,-0.1787,9.5635,1.0752,2.1882,-2.8465,0.0394,-0.1664,9.519,0,Normal,Normal
34.0,-0.3985,-0.4284,9.8126,0.555,-2.9295,-2.7122,-0.276,-0.3888,9.7517,0,Normal,Normal
35.0,0.5304,-0.1269,9.8009,2.9051,2.9466,-0.1146,0.5954,-0.1357,9.8305,0,Normal,Normal
36.0,-0.0026,-0.054,10.3531,-0.607,-4.6495,0.3666,-0.0757,-0.1113,10.37,0,Normal,Normal
37.0,-0.0198,0.1083,9.7177,-4.0648,0.6052,-0.7153,-0.025,0.1153,9.7192,0,Normal,Normal
38.0,0.0562,-0.335,9.9693,-0.5734,2.0001,0.6007,0.0409,-0.4196,10.0192,0,Normal,Normal
39.0,0.2624,0.1004,9.8249,2.8986,-1.5383,1.9919,0.2991,0.0399,9.8438,0,Normal,Normal
40.0,-0.2471,0.3076,9.8427,1.1947,-3.0633,-0.4311,-0.36,0.2629,9.9022,0,Normal,Normal
41.0,0.0582,0.5176,9.9532,0.6041,4.789,-1.3225,0.0141,0.5521,9.8535,0,Normal,Normal
42.0,0.3392,0.1128,9.9355,-6.2075,5.7819,4.2448,0.2443,0.0262,9.8897,0,Normal,Normal
43.0,0.0889,0.1288,9.7382,0.0151,-2.4468,4.7362,0.0693,0.0831,9.7924,0,Normal,Normal
44.0,-0.218,-0.2091,9.6165,-4.9319,2.1996,-1.4905,-0.1959,-0.2464,9.6232,0,Normal,Normal
45.0,-0.1308,0.4611,9.6911,0.2123,0.0804,3.8781,-0.1196,0.3971,9.7813,0,Normal,Normal
46.0,-0.2193,0.1654,9.6943,0.6213,1.5245,-3.5575,-0.182,0.1169,9.7851,0,Normal,Normal
47.0,-0.1023,0.2273,9.5382,-1.1684,0.379,-1.8325,-0.0706,0.1132,9.5145,0,Normal,Normal
48.0,-0.1894,0.1366,9.9342,0.3797,-0.1827,2.4529,-0.1755,0.0505,10.0752,0,Normal,Normal
49.0,-0.1879,-0.6426,9.6568,-0.0568,2.786,0.2802,-0.1931,-0.6805,9.6657,0,Normal,Normal
50.0,0.2716,-0.3871,9.6846,-0.9128,-0.3539,-1.8198,0.3065,-0.4077,9.701,0,Normal,Normal
51.0,0.0836,0.275,9.7691,-2.1915,-6.4554,-2.8043,0.0588,0.2448,9.8381,0,Normal,Normal
52.0,0.0608,0.0739,9.8756,-3.6113,-1.8009,-0.2506,0.0952,0.1256,9.8631,0,Normal,Normal
53.0,0.3561,0.164,9.8722,-2.8324,1.0518,-2.5843,0.3616,0.1994,9.8263,0,Normal,Normal
54.0,0.0119,0.1111,9.8461,0.4419,-3.8224,4.8345,0.0542,0.1675,9.8046,0,Normal,Normal
55.0,-0.0313,-0.1697,9.9049,-0.5904,-3.108,-0.3589,-0.0857,-0.0905,9.9486,0,Normal,Normal
56.0,0.4903,0.0788,9.9798,0.2309,2.9247,-2.1717,0.4489,0.1401,9.9837,0,Normal,Normal
57.0,-0.3801,-0.3063,9.5393,-2.669,1.8731,3.3943,-0.3553,-0.2879,9.5781,0,Normal,Normal
58.0,0.1561,-0.3073,10.4514,-1.1106,4.8257,-3.0,0.1414,-0.2908,10.4712,0,Normal,Normal
59.0,-0.0887,0.1859,9.6067,5.7761,1.8024,-1.8427,-0.0982,0.1492,9.6582,0,Normal,Normal
60.0,0.0625,0.0232,9.9101,2.1665,-3.3023,-4.8586,0.0466,0.0625,9.8855,0,Normal,Normal
61.0,0.0554,0.0128,9.9769,1.2984,0.4591,-3.0697,0.0601,0.0568,9.9408,0,Normal,Normal
62.0,-0.3403,-0.034,9.6834,-1.2627,-1.051,0.8303,-0.3464,0.0468,9.6692,0,Normal,Normal
63.0,0.6036,0.218,9.7695,2.7443,-0.3737,2.8672,0.6114,0.228,9.7756,0,Normal,Normal
64.0,-0.2572,0.3904,9.5919,0.9829,0.8479,0.6892,-0.2395,0.3833,9.6121,0,Normal,Normal
65.0,-0.2574,-0.021,9.7475,1.9686,0.4019,-0.5951,-0.2116,-0.07,9.757,0,Normal,Normal
66.0,-0.1846,-0.3774,9.6797,-3.8237,1.1668,-0.8187,-0.1567,-0.3904,9.6831,0,Normal,Normal
67.0,-0.4074,0.2303,10.0062,1.3229,0.0559,-1.5983,-0.4613,0.325,10.0001,0,Normal,Normal
68.0,0.3625,-0.2294,9.6352,3.1929,-2.3579,-0.4279,0.457,-0.2529,9.6769,0,Normal,Normal
69.0,-0.3721,0.5308,9.6838,4.425,-3.37,-2.0507,-0.3731,0.4783,9.5694,0,Normal,Normal
70.0,0.0861,-0.3752,9.817,3.3804,0.4237,2.3777,0.1094,-0.4099,9.87,0,Normal,Normal
71.0,0.2398,0.1578,9.7261,4.2497,3.5083,-3.1825,0.3362,0.1073,9.7613,0,Normal,Normal
72.0,-0.1001,0.3681,9.648,-1.0874,-0.2669,0.6226,-0.0949,0.3863,9.6127,0,Normal,Normal
73.0,-0.0778,-0.062,10.0294,3.3558,4.2869,-0.583,-0.0206,-0.1293,9.9319,0,Normal,Normal
74.0,0.1002,-0.3118,10.2173,0.2206,-1.3877,4.0862,0.1456,-0.4083,10.1635,0,Normal,Normal
75.0,0.0102,0.473,10.0048,-1.5637,3.5255,3.8324,-0.0153,0.4876,9.9819,0,Normal,Normal
76.0,0.025,0.2223,9.7891,4.1471,3.3438,0.2922,0.0785,0.169,9.7678,0,Normal,Normal
77.0,-0.5698,0.212,9.4641,2.6673,-4.496,2.515,-0.5,0.2041,9.5099,0,Normal,Normal
78.0,-0.0358,-0.5317,9.8821,2.3443,-1.3814,3.8747,-0.0379,-0.587,9.8726,0,Normal,Normal
79.0,0.4243,-0.1611,9.9459,-0.3162,1.4018,2.899,0.4775,-0.0797,9.8604,0,Normal,Normal
80.0,-0.2285,-0.0804,9.6758,0.7697,-5.121,-2.8379,-0.2601,-0.0885,9.6591,0,Normal,Normal
81.0,-0.1153,0.2676,9.7346,-0.3797,0.5125,-0.0356,-0.1285,0.3217,9.7048,0,Normal,Normal
82.0,0.0298,0.0934,10.1667,-1.6502,-1.1882,1.3764,0.1042,0.048,10.1924,0,Normal,Normal
