ax,ay,az,gx,gy,gz,hg_ax,hg_ay,hg_az,t_ms,p1_label,p1_crash,p2_label,p2_crash
0.1953,0.0984,10.1299,3.3848,0.7567,-5.3279,0.2565,0.0602,10.1693,1,0,0.0,,
0.0211,0.3,9.8601,4.8066,-3.2861,-2.7582,0.0034,0.2815,9.8673,2,0,0.0,,
0.3325,-0.1929,10.1309,7.7646,-7.5181,-1.1437,0.3512,-0.1659,10.0905,3,0,0.0,,
-0.1299,0.2769,9.6451,-0.525,3.7845,-1.1809,-0.1828,0.3254,9.7278,4,0,0.0,,
-0.1133,-0.0028,10.2139,4.2106,0.7004,0.4702,-0.1826,-0.0601,10.2811,5,0,0.0,,
-0.1549,-0.318,9.7161,-2.6845,-6.8089,0.885,-0.2193,-0.3156,9.6775,6,0,0.0,,
0.2232,0.0776,9.5203,-0.5684,-3.3658,-3.8347,0.2084,0.0937,9.5186,7,0,0.0,,
-0.6341,-0.0158,9.3873,-7.8395,-3.7422,1.3841,-0.5878,0.0137,9.4254,8,0,0.0,,
-0.0437,-0.0698,9.6378,-1.5762,4.9094,-5.8776,0.0054,-0.1421,9.6924,9,0,0.0,,
-0.3247,0.0971,9.8849,1.1435,1.4044,1.1758,-0.347,0.1315,9.9359,10,0,0.0,,
-0.3124,0.3703,9.6273,2.5185,2.4915,0.7225,-0.3086,0.2896,9.6355,11,0,0.0,,
-0.129,0.2987,9.6443,5.3525,-2.8483,-0.9124,-0.0752,0.3661,9.6501,12,0,0.0,,
-0.1572,-0.0031,9.942,4.0569,-3.8921,2.9181,-0.1238,-0.0181,9.95,13,0,0.0,,
-0.1941,0.4672,9.9008,-2.8658,1.4777,-1.8915,-0.1899,0.4499,9.9265,14,0,0.0,,
-0.6075,-0.2783,9.6701,-0.9495,-6.9458,2.3265,-0.474,-0.2938,9.658,15,0,0.0,,
-0.2209,-0.4836,9.781,-1.5674,-1.3518,-1.2255,-0.3116,-0.4289,9.6902,16,0,0.0,,
-0.0791,-0.0689,9.882,1.5581,-4.1155,-0.4922,-0.1316,-0.0624,9.8859,17,0,0.0,,
0.0641,0.2316,9.5402,-0.1853,-3.9002,2.3362,0.1036,0.2432,9.4996,18,0,0.0,,
0.3437,0.0506,9.6445,3.5682,-3.864,-5.5713,0.3242,0.0075,9.5798,19,0,0.0,,
0.1263,0.2891,10.1094,0.3191,-0.4928,2.315,0.0694,0.2235,10.134,20,0,0.0,,
-0.5315,0.352,10.2419,7.8569,0.8303,-0.3316,-0.5835,0.4097,10.3084,21,0,0.0,,
-0.0236,0.1475,9.7178,3.6578,-2.4253,4.7111,-0.0715,0.2237,9.7039,22,0,0.0,,
0.3682,-0.4502,9.8449,-7.3042,-0.1373,-0.0827,0.3691,-0.4541,9.8678,23,0,0.0,,
0.1866,0.0962,9.5573,0.1813,0.9579,-2.0535,0.0807,0.0681,9.4698,24,0,0.0,,
0.4473,-0.1677,9.6665,-6.5748,0.7345,1.1319,0.393,-0.1891,9.6869,25,0,0.0,,
0.347,-0.0748,9.8224,-1.8472,1.6978,-5.4028,0.3682,-0.1069,9.8187,26,0,0.0,,
0.165,0.1373,9.9712,4.8146,2.2787,2.9497,0.1255,0.113,10.0171,27,0,0.0,,
0.0341,-0.4019,9.9275,1.2554,0.1029,1.8321,0.1103,-0.463,9.9781,28,0,0.0,,
0.1173,0.0018,9.9149,-7.3319,-0.9268,-3.4808,0.1063,0.0542,9.8923,29,0,0.0,,
-0.4795,0.7226,9.4338,-3.076,-7.0361,-1.3952,-0.456,0.672,9.4661,30,0,0.0,,
0.3313,-0.2968,10.0063,-2.924,-3.5396,-1.5473,0.3787,-0.2465,10.0889,31,0,0.0,,
0.3021,0.0451,9.5636,3.0039,-2.6917,-0.3927,0.3116,-0.0022,9.517,32,0,0.0,,
-0.2378,-0.3619,9.8498,1.5971,-2.0697,0.2453,-0.1625,-0.3086,9.8311,33,0,0.0,,
0.0643,0.1116,9.9214,-1.5892,-3.179,-3.4207,-0.0331,0.0757,9.9954,34,0,0.0,,
0.082,-0.2223,10.1188,-3.5014,-3.125,-3.8233,0.0001,-0.1424,10.102,35,0,0.0,,
-0.1151,0.0172,9.961,-7.2232,0.7675,1.2247,-0.093,-0.007,9.8911,36,0,0.0,,
