ax,ay,az,gx,gy,gz,hg_ax,hg_ay,hg_az,t_ms,p1_label,p1_crash,p2_label,p2_crash
-0.2277,-0.3836,9.4719,-0.2881,1.5599,6.0266,-0.3244,-0.4315,9.5974,1,0,0.15370659276867144,,
0.0062,0.5595,9.7808,5.3579,-2.7756,-1.4695,-0.0024,0.5968,9.7855,2,0,0.15318370441863025,,
-0.2091,0.3267,9.8833,0.5064,2.0918,-4.8259,-0.2213,0.3233,9.867,3,0,0.15370659276867144,,
-0.0108,0.1787,9.948,-0.1758,4.9038,-2.4276,-0.0542,0.1108,9.9139,4,0,0.15370659276867144,,
0.3483,-0.0298,9.5205,-1.5037,-0.7931,1.3259,0.3509,-0.0843,9.4521,5,0,0.1534046229755623,,
-0.5189,0.1494,9.674,2.7336,-2.7197,-1.6383,-0.6195,0.2026,9.6268,6,0,0.15370659276867144,,
-0.1697,0.3536,9.9352,-1.5283,-1.5656,0.4248,-0.1879,0.4201,9.8945,7,0,0.15370659276867144,,
-0.0953,-0.3465,9.8006,-2.193,-2.3281,1.4705,-0.1105,-0.3787,9.7983,8,0,0.15370659276867144,,
0.1897,0.1106,9.9898,-3.5336,-3.5843,2.1126,0.1463,0.0907,9.9214,9,0,0.15370659276867144,,
-0.107,-0.2757,9.5022,2.6386,-5.2551,2.9882,-0.0324,-0.2438,9.4588,10,0,0.15370659276867144,,
-0.2059,0.2558,9.6326,-5.9191,-1.5077,-1.6583,-0.1628,0.2545,9.6028,11,0,0.15370659276867144,,
0.3301,-0.132,9.7055,-1.7221,-2.2132,-4.6604,0.3309,-0.0934,9.6714,12,0,0.15370659276867144,,
0.5058,0.1315,9.7572,-4.746,-0.9151,1.422,0.4735,0.113,9.8009,13,0,0.15370659276867144,,
-0.3471,0.4114,9.8414,-5.4274,2.29,1.7362,-0.3448,0.3589,9.8603,14,0,0.15370659276867144,,
-0.0573,-0.3775,9.4024,-0.4876,4.0271,1.0531,-0.0117,-0.2896,9.3552,15,0,0.14725823748351777,,
-0.2819,-0.3737,9.7069,-5.4686,-1.8672,2.4356,-0.2665,-0.3573,9.6629,16,0,0.15370659276867144,,
-0.1196,-0.2248,10.0054,0.4807,3.0437,-4.9388,-0.0711,-0.2757,9.9906,17,0,0.15370659276867144,,
-0.3251,-0.4152,9.7918,-2.3381,6.2765,1.1586,-0.2451,-0.3508,9.7902,18,0,0.15370659276867144,,
-0.1694,0.1817,9.6938,-0.4446,1.9897,2.0375,-0.212,0.2163,9.6185,19,0,0.15370659276867144,,
0.18,0.5553,10.0109,-3.2506,7.2104,-2.026,0.1775,0.5476,10.1541,20,0,0.14794555490236225,,
-0.0272,-0.3532,9.7087,-1.5197,-3.134,-6.8708,-0.0541,-0.3829,9.6996,21,0,0.1532405209942328,,
-0.1086,0.2839,9.6084,3.7704,-0.9479,-0.6137,-0.1776,0.2545,9.6014,22,0,0.15370659276867144,,
-0.1573,-0.1789,9.4516,-4.6544,-2.1577,-0.1028,-0.0958,-0.1709,9.4707,23,0,0.15370659276867144,,
0.251,-0.0922,10.0591,-4.843,2.7141,3.0916,0.2692,-0.0783,10.1046,24,0,0.15370659276867144,,
-0.353,0.1456,9.9447,-2.6437,0.5243,0.269,-0.3624,0.1955,10.0505,25,0,0.15370659276867144,,
0.3906,-0.2757,10.2331,0.6401,0.6873,-6.1388,0.5039,-0.1778,10.315,26,0,0.10003102166376773,,
-0.0184,-0.1243,9.9227,6.382,-1.1871,-6.4219,-0.1268,-0.0215,9.9893,27,0,0.1528511125999369,,
0.3829,0.0767,9.802,-2.3557,1.8906,-2.7795,0.4206,0.0699,9.7635,28,0,0.15370659276867144,,
0.0246,-0.1788,9.9051,-2.713,0.5313,-1.0038,0.0642,-0.1887,9.9109,29,0,0.15370659276867144,,
-0.0588,-0.3951,9.8442,0.9871,0.6014,-2.1445,-0.111,-0.428,9.873,30,0,0.15370659276867144,,
0.3341,-0.2738,9.7339,2.034,0.1628,4.2325,0.2754,-0.1973,9.7921,31,0,0.15370659276867144,,
-0.5639,0.2457,9.8374,3.1309,2.6429,-1.5607,-0.497,0.301,9.8625,32,0,0.15370659276867144,,
-0.3344,-0.2605,9.6139,1.7492,3.5903,-3.3165,-0.2516,-0.2826,9.5561,33,0,0.15370659276867144,,
-0.024,-0.0383,9.6825,0.8948,-0.3554,2.0007,-0.0414,-0.011,9.6514,34,0,0.15370659276867144,,
0.244,0.6176,9.6889,-2.0087,0.6359,-2.289,0.1175,0.6664,9.7291,35,0,0.15309497375261916,,
-0.1646,-0.2898,9.5544,1.4849,1.5287,-2.8513,-0.218,-0.2105,9.551,36,0,0.15370659276867144,,
0.3628,0.3539,9.7483,2.3279,3.9108,3.8955,0.385,0.3999,9.7769,37,0,0.15370659276867144,,
0.0368,0.0025,9.4541,0.4632,3.0281,0.989,0.024,-0.0507,9.5207,38,0,0.15370659276867144,,
0.3131,-0.3007,9.6815,0.9022,-2.5272,-2.5933,0.3683,-0.3289,9.6761,39,0,0.15370659276867144,,
-0.2581,0.0947,9.7904,-4.982,-0.9087,-1.503,-0.2571,0.1073,9.7778,40,0,0.15370659276867144,,
-0.1986,0.2448,9.7052,8.3043,-0.1224,0.8269,-0.27,0.2172,9.7196,41,0,0.12616966749026395,,
0.2946,-0.4451,9.9607,0.5705,3.193,1.2623,0.2468,-0.4634,9.9185,42,0,0.15370659276867144,,
-0.1977,0.1296,9.9546,-1.2651,-0.2213,-2.2257,-0.1743,0.1389,9.8923,43,0,0.15370659276867144,,
0.3785,0.1036,9.4906,-0.2114,-1.6107,-4.5818,0.3922,0.1199,9.4526,44,0,0.1534046229755623,,
