timestamp_idx,accel_mag_g
0,9.9440
1,10.0782
2,9.7734
3,9.7248
4,9.7975
5,9.7913
6,10.2299
7,9.8060
8,9.9359
9,10.2020
10,10.0735
11,9.9278
12,9.8554
13,9.6639
14,10.0825
15,10.2734
16,10.3456
17,9.9622
18,10.1444
19,10.1358
20,10.1488
21,10.2883
22,10.0302
23,10.2557
24,10.2051
25,10.1959
26,10.1685
27,10.1242
28,10.5118
29,10.1251
30,10.3506
31,10.2222
32,10.0829
33,9.9841
34,10.1366
35,10.0273
36,10.2499
37,10.3124
38,10.1885
39,10.2472
40,9.9792
41,9.9984
42,10.0485
43,9.7882
44,9.7398
45,9.8522
46,10.2598
47,9.8634
48,9.9094
49,9.8148
50,10.0167
51,9.8929
52,9.7697
53,9.7396
54,9.8457
55,9.6157
56,9.7998
57,9.6440
58,9.7393
59,9.4972
60,9.6913
61,9.5724
62,9.3739
63,9.4796
64,9.5802
65,9.4088
66,9.6399
67,9.4947
68,9.1798
69,9.6019
70,9.5277
71,9.5287
72,9.4223
73,9.6304
74,9.3072
75,9.1822
76,9.4477
77,9.5167
78,9.4602
79,9.4166
80,9.4251
81,9.0713
82,9.3446
83,9.4248
84,9.5617
85,9.6401
86,9.2856
87,9.4584
88,9.6062
89,9.7706
90,9.2998
91,9.6477
92,9.9242
93,9.6890
94,9.9327
95,9.6039
96,9.7942
97,9.7363
98,9.6177
99,9.5143
100,9.8744
101,9.8006
102,9.8553
103,9.7994
104,16.7393
105,16.6420
106,16.5741
107,16.7383
108,16.5942
109,16.4453
110,16.5569
111,16.7098
112,16.5698
113,16.5882
114,16.3976
115,16.1555
116,10.2033
117,10.5534
118,10.2427
119,10.3923
120,10.1416
121,10.3268
122,9.9885
123,10.1511
124,10.2095
125,10.1439
126,10.4065
127,10.1297
128,9.9558
129,28.3725
