t_ms,label,label_name,crash_prob,nc_prob,infer_ms,consecutive,deployed
550,0,Normal,0.0,0.0,316.101,0,False
782,0,Normal,0.0,0.0,101.0383,0,False
982,0,Normal,0.0,0.0,75.1342,0,False
1111,0,Normal,0.0,0.0,67.1629,0,False
1223,0,Normal,0.0,0.0,57.8281,0,False
1318,0,Normal,0.0,0.0,53.3023,0,False
1403,0,Normal,0.0,0.0,37.3198,0,False
1502,0,Normal,0.0,0.0,49.3288,0,False
1606,0,Normal,0.0,0.0,53.5793,0,False
1687,0,Normal,0.0,0.22,39.8787,0,False
1787,1,Near-Crash,0.0,0.99,49.4063,0,False
1903,1,Near-Crash,0.0,1.0,60.7225,0,False
2046,1,Near-Crash,0.0,0.99,83.4422,0,False
2165,1,Near-Crash,0.0,1.0,65.7304,0,False
