step,sim_state,ax,ay,az,gx,gy,gz,physics_trigger,ml_predicted_label,ml_crash_probability,arbiter_decision
1,normal,-0.0925,-0.0618,9.8135,0.3999,-1.0294,1.4471,NORMAL,0,0.0200,"ML_SUPERIOR_NORMAL (label=0, p=2.0%)"
2,normal,0.0400,0.0779,9.3908,-0.8837,-0.8020,1.3732,NORMAL,0,0.0200,"ML_SUPERIOR_NORMAL (label=0, p=2.0%)"
3,normal,-0.3644,0.1773,9.7934,0.4822,-1.0376,2.2014,NORMAL,0,0.0200,"ML_SUPERIOR_NORMAL (label=0, p=2.0%)"
4,normal,-0.2195,0.0630,10.0861,-0.4714,-2.0578,1.5978,NORMAL,0,0.0200,"ML_SUPERIOR_NORMAL (label=0, p=2.0%)"
5,normal,4.6212,5.2206,15.2552,9.1708,-1.7987,1.0008,"TIGHT_PHYSICS_TRIGGER (g=16.8, gyro=9.4, jerk=324.5)",1,0.1200,"ML_SUPERIOR_NORMAL (label=1, p=12.0%)"
6,normal,4.5722,5.1380,14.7272,10.0299,-1.6861,1.8816,NORMAL,1,0.1200,"ML_SUPERIOR_NORMAL (label=1, p=12.0%)"
7,normal,4.5642,5.1345,15.1298,9.8546,-2.1378,1.2995,NORMAL,1,0.1200,"ML_SUPERIOR_NORMAL (label=1, p=12.0%)"
8,normal,4.7059,5.0954,15.0554,9.7224,-1.0656,1.4860,NORMAL,1,0.1200,"ML_SUPERIOR_NORMAL (label=1, p=12.0%)"
9,normal,4.7942,4.9792,14.7798,9.3965,-0.8296,0.9739,NORMAL,1,0.1200,"ML_SUPERIOR_NORMAL (label=1, p=12.0%)"
10,normal,4.8515,4.7608,14.8684,9.8281,-1.5898,1.3759,NORMAL,1,0.1200,"ML_SUPERIOR_NORMAL (label=1, p=12.0%)"
11,normal,4.9612,4.7819,15.1529,10.4418,0.1812,1.2255,NORMAL,1,0.1200,"ML_SUPERIOR_NORMAL (label=1, p=12.0%)"
12,normal,4.8815,4.9949,14.9351,9.5119,-1.0590,0.8373,NORMAL,1,0.1200,"ML_SUPERIOR_NORMAL (label=1, p=12.0%)"
13,normal,5.0185,4.7114,15.2453,8.6020,-1.5538,1.1182,NORMAL,1,0.1200,"ML_SUPERIOR_NORMAL (label=1, p=12.0%)"
14,normal,4.8928,4.8336,14.9554,9.3146,0.4080,1.3353,NORMAL,1,0.1200,"ML_SUPERIOR_NORMAL (label=1, p=12.0%)"
15,normal,5.0830,5.0759,15.0433,9.2038,-1.3253,1.3135,NORMAL,1,0.1200,"ML_SUPERIOR_NORMAL (label=1, p=12.0%)"
16,normal,14.0000,7.0000,4.0000,-0.9035,-0.6593,0.4279,NORMAL,1,0.1200,"ML_SUPERIOR_NORMAL (label=1, p=12.0%)"
17,normal,0.1324,0.1802,10.0436,-1.1919,-0.3596,0.7986,NORMAL,0,0.0200,"ML_SUPERIOR_NORMAL (label=0, p=2.0%)"
18,normal,0.2009,0.1362,10.4287,-1.8419,0.3375,0.7198,NORMAL,0,0.0200,"ML_SUPERIOR_NORMAL (label=0, p=2.0%)"
19,normal,0.0316,0.1373,10.2253,-1.8713,-0.6722,0.1470,NORMAL,0,0.0200,"ML_SUPERIOR_NORMAL (label=0, p=2.0%)"
20,normal,0.4237,0.1391,9.7302,-0.5747,-0.0647,-0.1493,NORMAL,0,0.0200,"ML_SUPERIOR_NORMAL (label=0, p=2.0%)"
21,normal,0.2482,0.2819,10.1090,-1.2540,0.1993,-0.3838,NORMAL,0,0.0200,"ML_SUPERIOR_NORMAL (label=0, p=2.0%)"
22,normal,0.3439,0.1185,10.1966,-1.4115,-1.3967,-0.4057,NORMAL,0,0.0200,"ML_SUPERIOR_NORMAL (label=0, p=2.0%)"
23,normal,0.2817,0.1337,10.1558,-1.3698,0.6261,0.1231,NORMAL,0,0.0200,"ML_SUPERIOR_NORMAL (label=0, p=2.0%)"
24,normal,0.3102,-0.0959,10.4353,-1.8915,0.2568,-0.7301,NORMAL,0,0.0200,"ML_SUPERIOR_NORMAL (label=0, p=2.0%)"
25,normal,0.3483,0.1026,10.2212,-2.0257,0.2202,0.0633,NORMAL,0,0.0200,"ML_SUPERIOR_NORMAL (label=0, p=2.0%)"
26,normal,0.1139,0.0761,10.3005,-0.8256,-0.4852,-1.0072,NORMAL,0,0.0200,"ML_SUPERIOR_NORMAL (label=0, p=2.0%)"
27,normal,0.1835,0.0145,10.3344,-0.9543,-0.5083,-0.0052,NORMAL,0,0.0200,"ML_SUPERIOR_NORMAL (label=0, p=2.0%)"
28,normal,-0.0198,-0.1354,10.1755,-1.3962,-0.0262,0.0880,NORMAL,0,0.0200,"ML_SUPERIOR_NORMAL (label=0, p=2.0%)"
29,normal,0.0121,-0.3453,9.9419,-1.0707,-0.1619,0.2063,NORMAL,0,0.0200,"ML_SUPERIOR_NORMAL (label=0, p=2.0%)"
30,normal,25.0000,12.0000,6.0000,-0.7157,1.1992,-0.5520,EXTREME_PHYSICS_OVERRIDE (accel=28.4g),2,0.9500,EXTREME_PHYSICS_OVERRIDE (accel=28.4g)
